ID,Longitude,Latitude
CAS203553,-90.49508231,38.96836261
CAS203555,-90.91443611,37.92668333
CAS203566,-91.52694444,35.39361111
CAS203564,-90.46245,37.12165556
KU337018,-96.60919,39.10677
LSU84599,-93.0380556,31.5116667
OMNH2781,-93.95329,34.37701
UTEP19903,-93.80243,30.66895
UTEP20932,-91.4828,35.2565
FHSM11866,-78.45667,33.92667
DBS2776,-89.0244,30.93559
AMCC267446,-82.23947,34.10622
AMCC267450,-85.41158,32.40397
AMCC267458,-89.30668,34.55498
AMCC267490,-78.29186,37.17111
AMCC267498,-83.82083,37.86079
AMCC267507,-81.072675,32.280276
AMCC267510,-86.96673,34.65011
AMCC267512,-84.96384,30.90462
AMCC267513,-77.01516,34.74878
AMCC267514,-95.08112,31.31071
AMCC267515,-94.97042,31.20593
AMCC267516,-95.1551,31.38735
AMCC267523,-95.73278,30.66958
AMCC267525,-86.4058,30.938
AMCC267526,-84.66576,31.8547
AMCC267528,-81.54755,32.13062
AMCC267535,-84.96451,31.64204
AMCC267539,-83.72838,32.4116
AMCC267541,-84.01044,31.95624
AMCC267543,-82.94447,32.24104
AMCC267443,-84.97253,30.50606
