ID,Longitude,Latitude
FHSM13072,-88.03273,36.84873
DBS2432,-83.13433,35.01798
AMCC264814,-81.09523,28.61142
AMCC264780,-87.3593,32.903
AMCC264781,-87.3593,32.903
AMCC264783,-85.535,33.84331
AMCC264784,-85.535,33.84331
AMCC264785,-85.535,33.84331
AMCC264816,-82.46743,30.28375
AMCC264776,-81.49404,32.14259
AMCC264782,-89.29247,34.37933
AMCC264763,-74.06764,41.95633
AMCC264778,-81.11814,32.37906
AMCC264786,-81.59624,34.53627
AMCC264767,-79.59639,38.88219
AMCC264768,-79.16139,39.00261
AMCC264752,-75.58114,39.58861
AMCC264753,-75.58114,39.58861
AMCC264754,-75.58114,39.58861
AMCC264756,-78.69094,38.90786
AMCC264757,-76.95911,37.03261
AMCC264775,-81.990095,28.121591
AMCC264795,-78.9167,39.56849
AMCC264800,-77.88644,37.31625
AMCC264802,-86.07486,34.86569
AMCC264803,-86.07486,34.86569
AMCC264804,-86.04519,34.84494
AMCC264805,-87.23406,34.11911
AMCC264807,-89.26167,34.38444
AMCC264808,-74.72157,39.74028
AMCC264810,-77.13591,35.02717
AMCC264811,-74.12697,41.199
AMCC264813,-82.47873,30.28117
AMCC264817,-83.57909,29.80626
AMCC264819,-83.032269,29.30214
AMCC264821,-84.45333,30.32189
AMCC264822,-84.849,30.26954
