ID,Longitude,Latitude
F_abacura_AHT2952,-86.53952,31.21348
F_abacura_AHT3003,-86.33746,32.48268
F_abacura_AHT5034,-85.98718,30.47388
F_abacura_AHT5036,-85.91598,30.54687
F_abacura_CSA336,-95.17,30.398183
F_abacura_DBN42,-96.215295,30.838957
F_abacura_DBN45,-95.865383,29.874228
F_abacura_DL1091,-96.55230556,28.46958333
F_abacura_FTB1630,-85.374549,29.911209
F_abacura_FTB2096,-76.98554,34.95828
F_abacura_FTB2132,-86.40119,31.46696
F_abacura_FTB2197,-85.33681,30.94059
F_abacura_FTB2262,-92.75793,34.77998
F_abacura_FTB3022,-81.845686,32.415436
F_abacura_FTB3026,-82.57548,31.87025
F_abacura_FTB3312,-82.45978,30.28575
F_abacura_FTB3401,-83.57597,29.97285
F_abacura_FTB3495,-82.03402,31.47405
F_abacura_FTB3572,-84.33466,30.41433
F_abacura_FTB3580,-84.53688,30.36275
F_abacura_FTB3606,-84.97648,29.94561
F_abacura_FTB3619,-84.84399,30.27847
F_abacura_FTB3630,-84.72198,30.17064
F_abacura_FTB3658,-85.24169,30.28521
F_abacura_FTB374,-78.531015,34.963115
F_abacura_FTB3776,-83.82196,31.59575
F_abacura_GRC5017,-90.35955,32.33098
F_abacura_H14727,-92.706101,30.247084
F_abacura_H19768,-91.10831,30.315477
F_abacura_H21088,-92.509117,31.178418
F_abacura_H21430,-91.030035,29.913237
F_abacura_H2902,-90.394669,29.782034
F_abacura_HERPET155381,-82.30195,29.604339
F_abacura_HERPET155400,-82.2218,29.5173
F_abacura_HERPET155816,-82.09087,29.71172
F_abacura_HERPET169820,-81.395,25.9188
F_abacura_JDW_FA186,-81.42828,33.10714
F_abacura_JDW_FA69,-81.746185,33.250192
F_abacura_JDW_FA78,-81.746185,33.250192
F_abacura_NCSM78287,-77.7071,34.3708
F_abacura_NCSM79427,-78.6138,34.2475
F_abacura_NCSM84702,-79.5543,35.07
F_abacura_NCSM86518,-75.8824,35.8543
F_abacura_OCGR9906,-94.642258,33.745863
