ID,Longitude,Latitude
F_erytrogramma_FE_1,-81.965313,32.80377
F_erytrogramma_FE_2,-81.652511,33.09765
F_erytrogramma_FE_3,-79.782067,34.050528
F_erytrogramma_FE_4,-81.652511,33.09765
F_erytrogramma_FE_7,-89.15104,31.05602
F_erytrogramma_FTB3015,-82.85775,32.48275
F_erytrogramma_FTB_3020,-89.7294,30.52093
F_erytrogramma_FTB_3021,-81.43663,31.36673
F_erytrogramma_FTB_3023,-82.8654,32.4894
F_erytrogramma_FTB_3629,-84.74849,30.26653
F_erytrogramma_H7088,-90.109871,30.522774
F_erytrogramma_JDW_FE24,-81.747825,33.22254
F_erytrogramma_NCSM81458,-75.8015,36.2751
F_erytrogramma_NCSM84830,-78.3227,34.7868
F_erytrogramma_NCSM90674,-75.95832,36.53744
F_erytrogramma_NCSM_90708,-79.11865,35.17129
F_erytrogramma_NCSM_90709,-75.96176,36.53833
