ID,Longitude,Latitude
KU289566,-92.02992,32.55354
MVZ175927,-78.76421,35.72642
MVZ137799,-82.2377,32.7824
OMNH12624,-97.218056,35.220833
OMNH5006,-95.98857,34.46144
OMNH6115,-94.82665,35.63826
OMNH6645,-99.68006,35.87746
FLMNH173933,-84.568674,30.383751
FLMNH173210,-83.374,29.524469
UTEP20919,-101.1449167,30.99861667
FHSM7738,-97.8738,38.7488
FHSM9864,-85.77472,37.14028
FHSM11300,-99.29013,37.28022
FHSM11506,-93.6931,38.0442
FHSM12472,-95.5707,39.24966
FHSM13092,-88.02024,36.8489
FHSM13917,-99.0734,34.24914
FHSM15266,-96.038053,35.334242
FHSM15645,-95.768174,29.793491
FHSM15709,-96.26984,37.08374
DBS2706,-94.27754,34.65125
DBS2766,-91.82035,33.74041
DBS2868,-92.35149,32.54999
AMCC266061,-92.284722,29.997778
AMCC266080,-90.783925,34.780025
AMCC266081,-92.931732,34.94651
AMCC266083,-94.609524,29.735881
AMCC266037,-90.81997,32.11461
AMCC266036,-87.79094,31.54119
AMCC266044,-85.61476,33.57377
AMCC266047,-90.442822,30.396667
AMCC266062,-85.11752,34.471979
AMCC266066,-86.61883,38.35781
AMCC266069,-89.11259,37.44518
AMCC266086,-89.26111,34.62736
