ID,Longitude,Latitude
FTB1171,-76.51,44.44
Lt1,-85.64,34.35
Lt2,-85.61,34.39
Lt3,-85.65,34.35
AUHT-3018,-87.41,34.28
YP13969,-73.12,41.26
FTB1525,-87.45,40.92
FTB1512,-90.55,39.01
FTB1524,-87.62,41.07
FTB1522,-90.2,38.16
FTB1521,-89.42,38.35
FTB1584,-87.39,41.61
FTB1583,-86.62,41.72
JTC2522,-88.87,36.73
MHP9886,-88.72,36.58
MHP9887,-83.61,37.94
FTB1587,-83.71,37.48
FTB1705,-90.89,30.35
FTB1678,-92.04,31.52
FTB1680,-92.05,31.39
FTB1640,-76.68,39.67
FTB1829,-72.65,42.19
FTB1580,-91.94,44.07
FTB1581,-91.94,44.07
FTB2229,-90.75,37.55
FTB1839,-94.29,39.05
FTB1983,-90.92,36.73
FTB2231,-91.48,37.2
FTB2232,-91.48,37.2
FTB1804,-74.54,39.92
SR456,-74.5,39.83
FTB551,-74.79,42.2
FTB949,-74.14,41.79
FTB444,-73.38,40.75
FTB1840,-75.06,41.84
FTB1697,-76.46,42.59
FTB1636,-83.92,35.36
DBS2504,-82.58,35.9
FTB2297,-81.43,39.75
FTB2299,-81.5,40.53
FTB2298,-82.74,39.47
FTB1973,-75.6,41.41
DBS2486,-82.4,35.18
FTB1639,-78.36,38.99
FTB563,-78.63,38.87
FTB728,-79.53,39.02
FTB1984,-90.07,42.94
FTB1687,-88.63,42.63
FTB1817,-109.75,31.88
FTB1967,-111.03,35.07
FTB1971,-112.97,35.3
DBS2052,-93.92,34.41
DBS622,-94.02,34.44
FTB1632,-92.39,34.75
FTB1527,-92.66,34.64
FTB2078,-108.62,38.96
MHP7991,-95.11,39.26
MHP8310,-94.78,38.19
MHP8504,-101.34,38.77
MHP8275,-99.62,38.45
MHP8496,-99.75,38.29
MHP7910,-99.16,38.7
MHP8549,-98.88,38.97
FTB1696,-90.89,30.35
FTB1704,-90.89,30.35
FTB3987,-91.48,32.19
FTB3988,-91.48,32.19
FTB1683,-91.09,30.31
FTB1690,-91.5,30.48
FTB1700,-90.1,29.75
FTB1707,-90.14,29.75
FTB1605,-93.09,31.76
FTB3986,-91.69,30.47
FTB1706,-90.75,30.06
FTB1688,-90.09,30.83
LJV10753,-108.94,45.22
LJV10782,-108.51,46.02
FTB1653,-114.3,40.33
FTB1807,-106.05,35.0
DBS1304,-96.02,34.51
DBS1349,-95.94,34.54
DBS1387,-95.83,34.41
LJV10693,-95.92,34.33
DBS1805,-95.94,34.54
TJC29,-94.83,35.7
DBS1535,-94.53,34.69
DBS532,-94.49,34.62
FTB1689,-94.91,33.89
DBS76,-95.14,35.75
LJV9335,-95.22,35.71
DBS1452,-95.39,34.63
FTB1685,-95.67,36.47
MHP8727,-103.38,43.64
FTB1805,-96.2,30.49
FTB1798,-96.63,30.52
FTB1532,-99.41,31.92
FTB1534,-99.42,32.08
FTB1797,-95.97,30.61
SRSU6519,-103.88,30.57
FTB1794,-87.36,32.93
FTB1795,-87.43,32.98
AUHT-4692,-86.69,31.12
AUHT-4402,-88.27,32.36
FTB1595,-82.38,29.55
FTB1593,-85.02,30.44
FTB1310,-84.77,30.53
FTB1615,-80.98,26.62
FTB1599,-83.17,29.94
FTB1591,-84.23,30.48
FTB1592,-84.86,30.26
FTB1588,-82.48,27.62
FTB1590,-82.47,27.6
FTB1594,-82.48,27.62
FTB1606,-82.48,27.62
FTB1607,-82.48,27.62
FTB1608,-82.48,27.62
FTB1598,-80.16,25.67
FTB1612,-80.16,25.67
AUHT-4223,-83.92,30.18
FTB1681,-86.89,30.67
FTB1692,-86.92,30.82
FTB1645,-81.35,32.57
MHP9851,-88.14,36.91
FTB1679,-89.94,30.52
FTB1699,-89.81,30.32
FTB1703,-90.09,30.41
FTB1676,-90.4,30.72
FTB1702,-91.55,30.97
FTB1611,-88.99,30.92
FTB1693,-88.91,30.85
FTB1691,-91.3,31.15
FTB2109,-76.96,34.77
FTB1642,-77.5,35.22
FTB1978,-79.47,35.37
FTB1754,-79.77,34.99
FTB1976,-79.47,34.85
FTB1974,-80.24,34.58
FTB1755,-80.27,32.95
FTB1977,-80.54,33.17
FTB1644,-81.2,32.49
RH013,-99.47,21.21
UANL6780,-99.5,21.23
FTB1819,-98.07,22.92
UANLUnc43,-100.04,24.73
