ID,Longitude,Latitude
LSU99213,-93.2097528,30.6562667
OMNH9224,-99.84569,35.0155
OMNH8361,-93.82875,34.4087
FLMNH153506,-90.89277,31.886388
FLMNH151609,-104.399627,33.392876
UTEP21097,-91.96226667,35.71741667
UTEP21151,-97.43293333,31.87935
UTEP21153,-98.24601667,26.46783333
UTEP20785,-103.7737667,30.95133333
UTEP21565,-100.63402,30.85507
UTEP21741,-100.15658,29.0176
UTEP18776,-97.20898333,28.10975
UTEP17486,-106.1763889,31.45972222
UTEP19805,-96.88388333,30.21901667
OMNH6523,-95.9053056,34.3298056
OMNH6142,-94.83189,35.66508
FHSM9938,-85.89111,37.27222
FHSM10805,-95.35951,37.05205
FHSM11399,-102.01199,37.52364
FHSM12883,-99.30293,37.61023
FHSM16465,-108.2453,38.77317
FHSM16936,-99.73744,39.61078
AMCC265573,-85.56281,33.70139
AMCC265578,-89.38201,34.76062
AMCC265580,-89.73164,33.11944
AMCC265581,-87.35298,34.31266
AMCC265583,-80.97344,27.51205
AMCC265586,-84.67497,35.16511
AMCC265591,-76.14169,35.45351
AMCC265593,-86.99969,30.78185
AMCC265594,-86.65962,30.72797
AMCC263489,-79.52782,35.39473
AMCC265616,-82.9849,29.20618
AMCC265618,-85.09669,31.61712
AMCC265619,-84.06229,31.44551
AMCC265620,-82.45105,31.98386
