ID,Longitude,Latitude
CAS162020,-79.53386,33.14123
CAS199805,-82.80616589,41.54882969
CAS210409,-79.24691667,41.18311667
OMNH2693,-94.52158,34.69291
OMNH12346,-97.449726,35.17868
OMNH15372,-95.04552,36.37162
OMNH5133,-95.94116,34.54244
UTEP21672,-99.96245,35.61511667
YPM16611,-86.870383,33.0373
FHSM9980,-93.21667,39.76667
FHSM12731,-99.0936,37.08907
FHSM16847,-97.894477,38.053252
FHSM16947,-98.532167,39.991183
AMCC267207,-73.989872,40.443119
AMCC267212,-84.24695,43.76169
AMCC267199,-77.05997,37.06428
AMCC267200,-74.1214,40.6253
AMCC267201,-81.990095,28.121591
AMCC267202,-83.69304,37.83747
AMCC267203,-77.73622,36.46378
AMCC267205,-83.54543,34.56159
AMCC267206,-95.04282,31.07726
AMCC267209,-74.2826,41.2972
AMCC267210,-79.51356,35.39058
AMCC267211,-84.280161,43.590265
AMCC267213,-74.153951,40.600977
AMCC267214,-81.66223,31.28009
